NPC,LIKENESS,ROLE,R-S,CLASS,RANK,COMPANY,PRIMUS,SECUNDUS,TERTIUS,AI,SQUAD,VEHICLE,SHIP,SYSTEM,MUSIC,QUOTE
PC,nan,Captain,hm,Other-,O4,Sky Rig,Company,Care,Caress,Mother,Maid,Speeder A,SkyRig,nan,nan,nan
Carl,nan,Pilot,hm,Navy-5,O4,Carl's Crew,Instruct,Planning,Contacts,Nancy,Alpha,APC A,Cutter A,Regina,nan,nan
Terrii,Linda Carter,Navigator,hf,Scout-6,O3,Terri's Triangulation,Entertain,Comms,NIL,Sallii,Beta,APC B,Cutter B,Roup,nan,nan
Andii,Jessica Rabbit,Doctor,hf,Doctor-6,O5,Andii's Angels,Medical,Sisters,Smuggling,Debii,Gamma,APC C,Cutter C,Feri,nan,nan
Raoul,Rocket (bigger),Chief,hm,Army-5,E6,Raoul's RoughRiders,Mechanic,213th,Bros,Amii,Delta,APC D,Cutter D,Boughene,nan,nan
Betti,Robyn,SensOp,hf,Army-5,O4,Bettii's Bots,Spares,Brothels,Streetwise,Angii,Epsilon,APC E,Cutter E,Efate,nan,nan
Teelan,nan,Technician,hm,Other-4,E5,Teelan's,Entertain,Computers,Droids,Orac,Zeta,APC F,Cutter F,Lysen,nan,nan
Max,Seven,Gunner,hf,Marine-4,E3,Max's,Marine,Postman,213th,Marii,Bad Batch,GCarrier,Jump mod,Jewell,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Fives,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sevens,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Nines,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Elevens,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sister Sledge,2000AD,Medical,hf,Medic-4,O2,Sisters of Mercy,Healing,Teaching,Learning,Mary,Sisters,Meat Wagon,Angelus,Feri,nan,Do you Reshathra?
Sherlock Holmes,Sherlock Holmes,Sleuth,hm,Other-6,O6,Sleuthes,Perception,Deduction,Reasoning,Hemlock Bones,Bash St Runners,nan,nan,Regina,Sherlock Holmes,Credits for kids
Tanya Hide,Sherlock Holmes,Other,hf,Therapy-5,O5,Sherlocking,Psychology,Domination,'Fun’,nan,Clerks,Limo A,Phallus,Regina,Sherlock Holmes,You may
BarBelle,nan,Informer,hf,Other-1,E1,Trixies,Admin,Party,Party,nan,Bitches,nan,nan,nan,nan,What ya buyin?
Barb Wire,Pamela Anderson,Dancer,hf,Other-2,O4,Downtowns,Streetwise,Smuggling,Dance,Hunnii,Bosses,Bike A,nan,nan,TV,What have you got us?
Barbii & Bambam,nan,Courtesans,hf,Other-3,O2,Striperelllas,Carousing,Courier,'Fun’,nan,Bashers,Van A,nan,nan,TV,Combat Couple Act
Col. Deering,Erin Gray,Leader,hf,Navy-5,O2,Roup Defence Force,Leader,Swimming,Aerobics,Twiki,COACC,nan,Star Fighter,Roup,TV,Thats not good
Ardarla,BR,Princess,hf,Other-2,O5,Peace Mission,Politics,Loving Life,Jogging,nan,Guards,Coach,Cruiser,Feri,nan,Attend me!
Foxy Roxy,nan,Spy,hf,Scout-4,E3,Foxies mints,SPYING,Deals,Courier,nan,Lazers,Rock E5,Rock-E,Lysen,nan,nan
Ruby Red,nan,Miner,hf,Navy-3,O4,Red Hand Gang,Mining,Building,Rocking,Crystii,BimboTs,MPak A,Big Red One,Roup,nan,I like big rocks
Walter,2000AD,Lisping bot,hm,Waiter-3,E1,Creative Cleaning,Wash,Rinse,Repeat,nan,BinBots,nan,nan,Feri,nan,"Hi Im Walter, twy me"
Mr 10%,2000AD,Employer,hm,Other-8,E2,Robusters,Business,nan,nan,Munii,Bruisers,Rolls A,Preying Mantis,Boughene,nan,Robusters are Go!
Stogie,2000AD,Cigarillo,hm,AI,E1,Marlboro,Smoke,nan,nan,nan,Cigar Box,nan,nan,Lysen,nan,Hey-Senyor
Sam C Slade,Clint Eastwood,Robohunter,hm,Scout-6,O4,Robohunter,Job,nan,nan,nan,Droids,Cab A,Beowulf,Lysen,nan,The C stands for Cat
Dirty Harry,Clint Eastwood,Investigator,hm,Lawman-7,O5,Law,Job,nan,nan,nan,Lawmen,nan,nan,Jewell,nan,I know what you`re thinking
Dusty Bin,TV321,Bin-stupid,hm,Other-8,E1,Street Cleaner,Informant,nan,nan,nan,Posties,nan,nan,Jewell,nan,nan
Johnny Alpha,2000AD,Leader,hm,Other-4,O2,Strontium Dogs,Hunt,nan,nan,nan,BountyBoys,Truck A,Hunter,Feri,nan,Muties Work
Wulf Sternhammer,2000AD,Bounty Hunter,hm,Other-5,E3,Strontium Dogs,Hunt,nan,nan,nan,BountyBoys,Truck A,nan,Feri,nan,Yes Johnny
Harry 20,2000AD,Employer,hm,Trader-5,O5,Rock Hard Mining,Streetwise,nan,nan,nan,Kinunir Crew,nan,High Rock,Roup,nan,Banged Up
